# Format: oryginał;tłumaczenie;epizod
# Linie zaczynające się od # są ignorowane.
# Każdy epizod powinien zawierać co najmniej 25 haseł.

# ── Epizod 1: Dom i rodzina ──────────────────────────────────────
Romans;Rzymianie;2:03;1
to be called;nazywać się;2:03;1
Jorvik;Jorvik (stara nazwa Yorku);2:12;1
to come from;pochodzić z;2:21;1
proud;dumny;2:39;1
look after;dbać o;2:35;1
generally;ogólnie;2:41;1
homely;przytulny;2:48;1
helpful;pomocny;2:50;1
comfortable;komfortowy;3:01;1
get trapped;utknąć / „wciągnąć się” gdzieś;3:06;1
a lot of variety;duża różnorodność;3:09;1
not accepting;nieakceptujący;3:12;1
historical;historyczny;3:32;1
surroundings;otoczenie;4:25;1

# ── Epizod 2: Jedzenie i napoje ─────────────────────────────────
I'm from the northwest of England, but I live in London.;Pochodzę z północno-zachodniej Anglii, ale mieszkam w Londynie.;0:25;2
I love how diverse it is.;Uwielbiam to, jak bardzo jest różnorodne.;0:28;2
You can walk out of your door every day and find something completely different to do.;Możesz codziennie wyjść z domu i znaleźć coś zupełnie innego do zrobienia.;0:31;2
It's very varied.;Jest bardzo zróżnicowane.;0:37;2
It's like a hundred different cities in London.;To jak sto różnych miast w jednym Londynie.;0:39;2
It's kind of a confederation of places.;To coś w rodzaju zbioru różnych miejsc.;0:43;2
The world is your oyster.;Świat stoi przed tobą otworem.;0:46;2
London is now the capital of the world.;Londyn jest teraz stolicą świata.;0:57;2
I love the hustle and bustle of it.;Uwielbiam jego zgiełk.;0:59;2
There's always something going on.;Zawsze coś się dzieje.;1:02;2
People come from all over the world.;Ludzie przyjeżdżają z całego świata.;1:10;2
You can meet interesting people.;Możesz spotkać ciekawych ludzi.;1:11;2
I grew up in London.;Dorastałem w Londynie.;1:20;2
You are surrounded by it constantly.;Jesteś tym cały czas otoczony.;1:35;2
It's something that you take for granted.;To coś, co bierzesz za pewnik.;1:43;2
There's nowhere else in the world quite like it.;Nie ma drugiego takiego miejsca na świecie.;1:48;2
It's a cosmopolitan city.;To kosmopolityczne miasto.;1:53;2
There are lots of different ethnic groups.;Jest wiele różnych grup etnicznych.;1:56;2
It's a very beautiful city.;To bardzo piękne miasto.;2:01;2
There are lots of things to do.;Jest mnóstwo rzeczy do zrobienia.;2:02;2
The food is amazing.;Jedzenie jest niesamowite.;2:06;2
First of all, you have to do your research.;Przede wszystkim musisz zrobić research.;2:10;2
It's a massive city.;To ogromne miasto.;2:13;2
You can easily get lost.;Możesz łatwo się zgubić.;2:14;2
You can feel intimidated.;Możesz poczuć się onieśmielony.;2:15;2
You have to do your research.;Musisz zrobić research.;2:23;2
Just walk around and get to know the city.;Po prostu chodź i poznawaj miasto.;2:46;2
Get a feel for the city.;Poczuj klimat miasta.;2:48;2
Go to as many different areas as possible.;Odwiedź jak najwięcej różnych dzielnic.;2:50;2
The markets are really cool.;Targi są naprawdę świetne.;2:56;2
A mix of touristy and local stuff is really fun.;Mieszanka turystycznych i lokalnych rzeczy jest naprawdę fajna.;3:01;2
It's about walking around the city.;Chodzi o chodzenie po mieście.;3:18;2
They are self-contained.;Są zamknięci w sobie.;3:26;2
They don't interact with you very much.;Nie wchodzą zbyt często w interakcje.;3:28;2
They are generally very friendly and helpful.;Ogólnie są bardzo mili i pomocni.;3:33;2
It's a very difficult question.;To bardzo trudne pytanie.;3:38;2
It's hugely multicultural.;Jest ogromnie wielokulturowe.;3:49;2
They are open-minded.;Są otwarci.;3:51;2
They are laid-back.;Są wyluzowani.;3:55;2
They are very dynamic people.;Są bardzo dynamiczni.;3:59;2
They can be quite busy.;Mogą być bardzo zajęci.;4:16;2
They can be quite cold.;Mogą być dość chłodni.;4:26;2
That's what makes London great.;To właśnie sprawia, że Londyn jest świetny.;4:36;2
diverse;różnorodny;0:28;2
walk out of your door;wyjść z domu;0:31;2
completely different;zupełnie inny;0:34;2
without a plan;bez planu;0:34;2
varied;zróżnicowany;0:37;2
confederation of places;zbiór różnych miejsc;0:43;2
the world is your oyster;świat stoi przed tobą otworem;0:46;2
seats of learning;ośrodki edukacyjne;0:51;2
the capital of the world;stolica świata;0:57;2
hustle and bustle;zgiełk miasta;0:59;2
there's always something going on;zawsze coś się dzieje;1:02;2
all over the world;z całego świata;1:10;2
meet interesting people;poznawać ciekawych ludzi;1:11;2
diversity;różnorodność;1:15;2
grow up;dorastać;1:34;2
surrounded by;otoczony przez;1:35;2
environment;środowisko;1:40;2
take for granted;brać za pewnik;1:43;2
nowhere else in the world;nie ma nigdzie indziej na świecie;1:48;2
cosmopolitan;kosmopolityczny;1:53;2
ethnic groups;grupy etniczne;1:56;2
lots of things to do;dużo rzeczy do zrobienia;2:02;2
do your research;zrobić research / przygotować się;2:10;2
massive city;ogromne miasto;2:13;2
get lost;zgubić się;2:14;2
feel intimidated;czuć się onieśmielonym;2:15;2
get stuck in;zaangażować się;2:27;2
wander around;spacerować bez celu;2:43;2
get to know the city;poznać miasto;2:47;2
get a feel for the city;wyczuć klimat miasta;2:48;2
different areas;różne dzielnice;2:50;2
markets;rynki / targi;2:56;2
touristy;turystyczny;3:01;2
local stuff;lokalne rzeczy;3:02;2
walking around;chodzenie po mieście;3:18;2
self-contained;zamknięty w sobie;3:26;2
interact with;wchodzić w interakcję;3:28;2
friendly;przyjazny;3:33;2
helpful;pomocny;3:35;2
open-minded;otwarty;3:51;2
laid-back;wyluzowany;3:55;2
dynamic;dynamiczny;3:59;2
busy;zapracowany;4:16;2
mistrusting;nieufny;4:16;2
cold;chłodny (w zachowaniu);4:26;2
